Season,POS,Player,Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
2008,75,Wilkin Mota,Kings XI Punjab,1,4,2,3,36,24-Jan,36,12,18,0,0
2008,76,Brett Geeves,Delhi Daredevils,1,2,2,8,91,Jan-50,91,11.37,48,0,0
2008,77,Andre Nel,Mumbai Indians,1,1,1,3,31,31-Jan,31,10.33,18,0,0
2008,78,Rohit Sharma,Deccan Chargers,1,13,1,4,25,6-Apr,25,6.25,24,0,0
2008,79,Ajantha Mendis,Kolkata Knight Riders,1,1,1,4,24,19-Feb,24,6,24,0,0
2008,80,Vidyut Sivaramakrishnan,Chennai Super Kings,1,9,1,2,22,22-Jan,22,11,12,0,0
2008,81,Suresh Raina,Chennai Super Kings,1,16,1,2,30,Feb-00,30,9,20,0,0
2008,82,Sunil Joshi,Royal Challengers Bangalore,1,4,4,9,82,27-Jan,82,8.94,55,0,0
2008,83,Dinesh Salunkhe,Rajasthan Royals,1,6,5,8,78,21-Jan,78,9.95,47,0,0
2008,84,Dwaraka Ravi Teja,Deccan Chargers,1,7,1,2,19,19-Jan,19,9.5,12,0,0
2008,85,Mohammad Hafeez,Kolkata Knight Riders,1,8,2,5,24,8-Jan,24,4.8,30,0,0
2008,86,Abhishek Nayar,Mumbai Indians,1,14,5,7,68,13-Mar,68,9.71,42,0,0
2008,87,PM Sarvesh Kumar,Deccan Chargers,1,2,2,5,42,18-Jan,42,8.4,30,0,0
2009,1,RP Singh,Deccan Chargers,23,16,16,59,417,22-Apr,18.13,6.98,15.56,1,0
2009,2,Anil Kumble,Royal Challengers Bangalore,21,16,16,59,347,5-May,16.52,5.86,16.9,1,1
2009,3,Pragyan Ojha,Deccan Chargers,18,15,15,53,348,11-Mar,19.33,6.5,17.83,0,0
2009,4,Lasith Malinga,Mumbai Indians,18,13,13,49,312,13-May,17.33,6.3,16.5,0,0
2009,5,Irfan Pathan,Kings XI Punjab,17,14,14,50,390,24-Mar,22.94,7.74,17.76,0,0
2009,6,Munaf Patel,Rajasthan Royals,16,11,11,35,241,21-May,15.06,6.91,13.06,0,0
2009,7,Shane Warne,Rajasthan Royals,14,13,13,50,365,21-Apr,26.07,7.3,21.42,0,0
2009,8,Muttiah Muralitharan,Chennai Super Kings,14,13,13,50,261,11-Mar,18.64,5.22,21.42,0,0
2009,9,AMumbai Indianst Mumbai Indiansshra,Delhi Daredevils,14,11,11,42,294,17-May,21,6.97,18.07,0,0
2009,10,Yusuf Abdulla,Kings XI Punjab,14,9,9,28,241,Apr-31,17.21,8.6,12,2,0
2009,11,LakshMumbai Indianspathy Balaji,Chennai Super Kings,13,13,13,37,316,24-May,24.3,8.46,17.23,1,0
2009,12,Praveen Kumar,Royal Challengers Bangalore,13,13,13,49,394,18-Mar,30.3,7.93,22.92,0,0
2009,13,Shadab Jakati,Chennai Super Kings,13,9,8,29,217,22-Apr,16.69,7.48,13.38,2,0
2009,14,Albie Morkel,Chennai Super Kings,13,12,12,40,324,Apr-32,24.92,8.1,18.46,0,0
2009,15,Harbhajan Singh,Mumbai Indians,12,13,13,44,256,18-May,21.33,5.81,22,1,0
2009,16,Piyush Chawla,Kings XI Punjab,12,14,14,45,308,17-Apr,25.66,6.86,22.41,0,0
2009,17,Rohit Sharma,Deccan Chargers,11,16,12,23,161,6-Apr,14.63,7,12.54,1,0
2009,18,Ishant Sharma,Kolkata Knight Riders,11,11,11,43,297,12-May,27,6.9,23.45,0,0
2009,19,Dwayne Bravo,Mumbai Indians,11,11,11,33,259,22-Apr,23.54,7.8,18.09,0,0
2009,20,Roelof van der Merwe,Royal Challengers Bangalore,9,10,10,34,248,20-Mar,27.55,7.29,22.66,0,0
2009,21,Vinay Kumar,Royal Challengers Bangalore,9,11,11,32,271,Apr-40,30.11,8.38,21.55,0,0
2009,22,AMumbai Indianst Singh,Rajasthan Royals,9,5,5,17,95,19-Apr,10.55,5.42,11.66,1,0
2009,23,Suresh Raina,Chennai Super Kings,7,14,10,27,164,Feb-00,23.42,5.92,23.71,0,0
2009,24,Sanath Jayasuriya,Mumbai Indians,7,12,9,19,163,14-Mar,23.28,8.57,16.28,0,0
2009,25,Brad Hodge,Kolkata Knight Riders,7,12,9,20,161,13-Apr,23,8.05,17.14,0,0
2009,26,Yusuf Pathan,Rajasthan Royals,7,13,11,35,243,20-Mar,34.71,6.94,30,0,0
2009,27,Andrew Symonds,Deccan Chargers,7,8,8,24,160,21-Mar,22.85,6.66,20.57,0,0
2009,28,Ravindra Jadeja,Rajasthan Royals,6,13,10,23,151,16-May,25.16,6.47,23.33,0,0
2009,29,Ryan HaRajasthan Royalsis,Deccan Chargers,6,8,8,31,230,Apr-34,38.33,7.41,31,0,0
2009,30,Zaheer Khan,Mumbai Indians,6,6,6,21,142,17-Apr,23.66,6.76,21,0,0
2009,31,Shanthakumaran Sreesanth,Kings XI Punjab,6,7,7,23,192,29-Mar,32,8.34,23,0,0
2009,32,Kamran Khan,Rajasthan Royals,6,5,5,17,124,18-Mar,20.66,7.01,17.66,0,0
